,date,day,month,year,Mon,Tue,Wed,Thu,Fri,Sat,Sun,pressure,temperature,humidity,windspeed,wind_direction,maximum_windspeed_x,maximum_wind_direction,rainfall,volume,level,alarms_count,price,D+1,D+3,D+5,D+7
0,1997-01-01,01,01,1997,0,1,0,0,0,0,0,972.3814874492058,20.171672371411,81.21086138904482,1.677264106529288,160.67325549208093,8.30780547617873,186.56162661358064,0.6270080495294617,70520.0,0,0.0,6.0,7.3,6.6,4.3,5.5
1,1997-01-02,02,01,1997,0,0,1,0,0,0,0,972.5676411151044,19.457437998165105,80.74732669519044,1.9542155698032424,152.80991010512716,8.545169560877591,188.4415503983092,0.2296735025983498,79289.0,0,0.0,7.3,6.4,5.1,4.9,5.5
2,1997-01-03,03,01,1997,0,0,0,1,0,0,0,972.286722387189,19.875812556469,81.08301574112684,1.70580567581031,159.65443307332504,8.130328571478298,191.9609850272845,0.2035250927043568,125754.0,0,0.0,6.4,6.6,4.3,5.5,5.6
3,1997-01-05,05,01,1997,0,0,0,0,0,1,0,972.6111040126308,19.15637792749373,81.12541856798197,2.155275640474621,163.53782529947344,8.804533518474763,190.38854686474028,1.2054685556018834,136393.0,0,0.0,6.6,5.1,4.9,5.5,5.5
4,1997-01-06,06,01,1997,0,0,0,0,0,0,1,973.2061570161642,18.82740266247606,80.92400514042012,2.114286241181335,148.8311115185547,8.624321504340488,187.34261046898047,0.9798501810435796,152319.0,0,0.0,5.1,4.3,5.5,5.6,5.5
5,1997-01-07,07,01,1997,1,0,0,0,0,0,0,973.259867263514,18.76733199109797,81.75792740190423,1.983897548601829,150.1809348401095,8.436335638616105,186.27900622869788,7.508295410725559,148325.0,0,0.0,4.3,4.9,5.5,5.5,4.6
6,1997-01-08,08,01,1997,0,1,0,0,0,0,0,973.2662056387278,18.11432961948277,81.59383631218469,2.086677327142971,149.59647007003895,8.557997039002764,188.89795776577503,4.121622699416074,103951.0,0,0.0,4.9,5.5,5.6,5.5,4.2
7,1997-01-09,09,01,1997,0,0,1,0,0,0,0,972.75769500043,18.50049983224873,81.42716964551802,1.842055821088872,156.82476154413814,8.27466370566943,190.46533365229988,1.4271191533167835,90452.0,0,0.0,5.5,5.5,5.5,4.6,3.8
8,1997-01-10,10,01,1997,0,0,0,1,0,0,0,972.6745234168998,18.5338802683957,81.16656530711765,1.955831861452735,165.79813310624547,8.370327458021627,193.44676934393857,0.5647078057990531,128825.0,0,0.0,5.5,5.6,5.5,4.2,4.2
9,1997-01-12,12,01,1997,0,0,0,0,0,1,0,972.9706291484767,18.53588069147557,79.98234286681976,1.8199455297868243,149.4631573708877,8.304452875942323,191.4513202394474,0.1749010655270891,145673.0,0,0.0,5.6,5.5,4.6,3.8,3.8
10,1997-01-13,13,01,1997,0,0,0,0,0,0,1,972.608277157507,19.17510584268808,80.33743270225757,1.6831908348209108,158.31167688957945,8.020081221654975,189.50868820749648,0.1559985909375723,133012.0,0,0.0,5.5,5.5,4.2,4.2,3.3
11,1997-01-14,14,01,1997,1,0,0,0,0,0,0,972.196426223677,19.54108781487101,80.86746803794662,1.6937367141853907,168.21714833700693,8.115487582079004,192.321409055553,0.4220763294534735,128322.0,0,0.0,5.5,4.6,3.8,3.8,3.2
12,1997-01-15,15,01,1997,0,1,0,0,0,0,0,972.2425527758816,19.65567121371281,82.00881079413037,1.7634028489551865,155.50602317933212,8.216547652750382,188.0917270767544,4.498578096237926,144757.0,0,0.0,4.6,4.2,4.2,3.3,3.2
13,1997-01-16,16,01,1997,0,0,1,0,0,0,0,971.8913829436924,19.912556569837385,81.86688595757475,1.8211338352732689,163.778662253358,8.371826826236806,191.01143294308,1.0210907845224573,104990.0,0,0.0,4.2,3.8,3.8,3.2,3.5
14,1997-01-17,17,01,1997,0,0,0,1,0,0,0,971.9296808160328,20.229577846433127,81.50872992920596,1.757304048039226,156.9063218278261,8.273599875882196,191.2809364891793,1.3444950398416062,139766.0,0,0.0,3.8,4.2,3.3,3.2,5.0
15,1997-01-19,19,01,1997,0,0,0,0,0,1,0,971.9435106032668,19.982060115936672,81.87043205686554,1.7477295799541197,160.49852040938637,8.198777180846735,190.6958301062006,1.434565961827422,141733.0,0,0.0,4.2,3.8,3.2,3.5,4.6
16,1997-01-20,20,01,1997,0,0,0,0,0,0,1,971.721879397593,20.074258697496955,82.05128312069533,1.6885097217980916,162.57653459378355,7.942748812052409,189.22065280123604,1.8558425575721027,148996.0,0,0.0,3.8,3.3,3.2,5.0,4.4
17,1997-01-21,21,01,1997,1,0,0,0,0,0,0,972.146086344786,19.83941679675168,81.50704400967807,2.042554792418084,165.36821399205294,8.726441645683243,191.243670539652,1.0369173188527667,130058.0,0,0.0,3.3,3.2,3.5,4.6,3.7
18,1997-01-22,22,01,1997,0,1,0,0,0,0,0,972.3570404083904,19.06521184975521,80.994676518512,1.9874311175064232,151.689768762371,8.544462847096671,191.45568467392755,0.6044084849305053,111503.0,0,0.0,3.2,3.2,5.0,4.4,3.4
19,1997-01-23,23,01,1997,0,0,1,0,0,0,0,971.4718833839004,19.78258786436875,81.02649672338629,1.7110079963435691,157.69657170441903,8.164826783302594,195.6256811108959,0.6138978927611487,119359.0,0,0.0,3.2,3.5,4.6,3.7,3.2
20,1997-01-24,24,01,1997,0,0,0,1,0,0,0,971.375061609804,18.58924011830645,81.87806874466041,2.398385181110663,168.38588183657592,9.042696062644374,193.0528578188039,17.63956749553121,154863.0,0,0.0,3.5,5.0,4.4,3.4,3.6
21,1997-01-26,26,01,1997,0,0,0,0,0,1,0,972.3065103730548,18.83270301583295,81.67312174819398,1.7414947217467058,158.54135886837804,8.163897476071936,194.0917270767544,0.8063519478280318,97380.0,0,0.0,5.0,4.6,3.7,3.2,5.2
22,1997-01-27,27,01,1997,0,0,0,0,0,0,1,972.113577510864,18.891713616539665,81.22789206621518,1.7814240503686138,157.90885003445578,8.229621857697378,191.53695675873325,0.5097088382873957,124354.0,0,0.0,4.6,4.4,3.4,3.6,5.5
23,1997-01-28,28,01,1997,1,0,0,0,0,0,0,972.1333244256648,19.120819456322646,80.22789206621518,1.748277465649107,151.49833440216497,8.154356840029534,191.9221157693339,0.2773766828103639,113304.0,0,0.0,4.4,3.7,3.2,5.2,5.6
24,1997-01-29,29,01,1997,0,1,0,0,0,0,0,972.1934924629326,19.548331821034367,80.30563058211624,1.6843790037860118,160.1145117721154,8.051529984905859,193.58996029230207,0.1780833965912826,113644.0,0,0.0,3.7,3.4,3.6,5.5,5.8
25,1997-01-30,30,01,1997,0,0,1,0,0,0,0,971.8056862008016,20.04491180803072,80.95959531493558,1.6913486135715414,152.261283661095,8.087009881894144,190.3686388573748,0.2126654983949515,102180.0,0,0.0,3.4,3.2,5.2,5.6,3.8
26,1997-01-31,31,01,1997,0,0,0,1,0,0,0,971.963754189309,20.19913411123932,81.24555991073814,1.8701166298739145,150.97598784364305,8.46743104497653,187.47688608735515,0.9987547746831557,128580.0,0,0.0,3.2,3.6,5.5,5.8,3.7
27,1997-02-01,01,02,1997,0,0,0,0,1,0,0,971.9626941186376,20.119982167776413,81.33036556444839,1.8347809408279776,159.1703341333957,8.28439217571858,189.6464973947756,4.242394350654887,125475.0,0,0.0,3.6,5.2,5.6,3.8,3.3
